job,lower,upper,delta,tot_l,tot_u,time,in_bounds,mean_cp,na_lower,mean_lower,med_lower,na_upper,mean_upper,med_upper,min_len,mean_len,med_len,max_len,global_mean_cp,global_na_lower,global_mean_lower,global_median_lower,global_na_upper,global_mean_upper,global_median_upper,global_min_len,global_mean_len,global_median_len,global_max_len
4,0.1634322,0.6876789,0.5242467,0,0,180.18,1,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.02777778,0.3815453,0.35376752,0,0,123.76,0,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.3148192,0.7545459,0.43972669999999997,0,0,205.897,1,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.2994085,0.8087396,0.5093311,0,0,197.428,1,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.5162409,0.8763232,0.36008229999999997,0,0,165.843,0,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.2410917,0.6690318,0.42794009999999993,0,0,206.654,1,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.2188629,0.7652397,0.5463768,0,0,188.063,1,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.084375,0.5354018,0.45102680000000006,0,0,149.723,1,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.5544697,0.9690476,0.41457790000000005,0,0,110.193,0,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
4,0.2062407,0.7166164,0.5103757,0,0,192.785,1,0.7,0,0.262671858,0.2299773,0,0.71641702,0.73558115,0.35376752,0.453745162,0.44537675,0.5463768,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.1745999,0.6944477,0.5198478,0,0,181.928,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.2656704,0.8400872,0.5744168000000001,0,0,161.067,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.2538066,0.7303204,0.4765138,0,0,199.263,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.2406803,0.7200604,0.47938010000000003,0,0,207.764,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.1420727,0.604594,0.46252129999999997,0,0,169.755,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.1336045,0.6640271,0.5304226,0,0,150.19,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.343174,0.7863823,0.4432083,0,0,207.716,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
5,0.2162055,0.6764944,0.46028890000000006,0,0,207.371,1,1,0,0.24376169,0.24724345,0,0.74243726,0.7251904,0.4432083,0.49867557,0.48978055,0.5744168000000001,0.9785,0,0.264867179035,0.2594881,0,0.7472838429,0.7564237,0.31427577,0.482416663865,0.48104464999999996,0.6983731
